Column1,Column2,Column3
京东到货很快但是这次体验感不是很好新买的手机手机后面有大大小小不一的划痕不知道什么原因虽然用时影响不大但是总归是新买的手机感觉不太好不太舒服咨询客服客服说是物流工程导致的这也许吧但有些牵强第一次买荣耀手机嗯可能也是最后一次了希望多多改进无论是物流还是图片拍得不清楚很多很细供大家参考,1,京东 到货 很快 这次 体验 感 新 买 手机 手机 大大小小 划痕 知道 原因 用时 影响 总归 新 买 手机 感觉 不太好 不太 舒服 咨询 客服 客服 说 物流 工程 导致 也许 牵强 第一次 买 荣耀 手机 最后 希望 改进 无论是 物流 图片 拍得 清楚 很细供 参考 
手机各方面性能都不错就是玩王者吃鸡之类的游戏会非常卡调到最低也会经常卡屏幕毕竟价格在这里了真实意见如果不玩游戏的话可以购买,1,手机 方面 性能 都 不错 玩 王者 吃 鸡 游戏 非常 卡调 最低 经常 卡 屏幕 毕竟 价格 真实 意见 玩游戏 购买 
电量用的比我用了三年的手机用的还快手机还出现了卡顿如果不是我着急用绝对退货外形外观颜色没有图片好看运行速度比较慢就像旧手机似的待机时间短,1,电量 三年 手机 还 手机 还 卡顿 着急 绝对 退货 外形 外观 颜色 没有 图片 好看 运行 速度 比较慢 旧 手机 待机时间 短 
手机没用一个月主板就出现了质量问题不读卡真的是一次糟糕的购物体验售后服务态度还不错就是手机质量不咋地,1,手机 没用 一个月 主板 质量 问题 读卡 真的 糟糕 购物 体验 售后服务 态度 还 不错 手机 质量 
附带的软件太多了抖音快手今日头条等等很多软件开机就已经安装到手机了卸载很长时间才清理干净,1,附带 软件 太多 抖音 快手 今日 头条 软件 开机 安装 手机 卸载 长时间 清理 干净 
手机经常卡死机而且半天按不动才买一个月不到用了不到一个星期就不行卡跟实体店的质量差远了,1,手机 经常 卡 死机 半天 按不动 买 一个月 不到 不到 星期 不行 卡 实体店 质量 差远了 
屏幕用到第天出现条纹质量差过了退货时间拿回去鉴定还要天才能出结果网上购物全凭运气,1,屏幕 用到 第天 条纹 质量 差过 退货 时间 拿回去 鉴定 还要 天 才能 网上 购物 全 运气 
反正没用到一个月就出了问题开机一分钟开机好了程序还点不开虽然说客服积极的回答了问题可以修但还是觉得不舒服,1,反正 没用到 一个月 问题 开机 一分钟 开机 程序 还点 不开 说 客服 积极 回答 问题 修 觉得 舒服 
质量太差收货才一个半月后摄像头破裂找客服又解决不了问题这样的销售质量值的后思,1,质量 太 差 收货 一个半月 摄像头 破裂 找 客服 解决不了 问题 销售 质量 值 后思 
两年前的问题为什么现在新出的手机还存在打电话对方听不到我声音那买这个手机还有什么用,1,两年 前 问题 现在 新出 手机 还 打电话 听 不到 声音 那买 手机 
就玩十分钟发热太严重,1,玩 十分钟 发热 太 
以后不会在买华为了新买的手机耳机插入没反应不能申请退货退款太坑了给妹妹买的妹妹学校封闭了想换货都没办法换也不让退,1,买 华为 新 买 手机 耳机 插入 没 申请 退货 退款 太坑 妹妹 买 妹妹 学校 封闭 想 换货 都 没 办法 换 不让 退 
屏幕显示效果非常糟糕肉眼可见色偏显示效果堪比百元机,1,屏幕显示 效果 非常 糟糕 肉眼 色偏 显示 效果 堪比 百元 机 
东西丢件了现在要我来评价太搞笑了,1,东西 丢件 现在 评价 太 搞笑 
打游戏陀螺仪有延迟没有录屏系统茶瓶,1,打游戏 陀螺仪 延迟 没有 录屏 系统 茶瓶 
神马东西连个耳机都没有,1,神马 东西连 耳机 都 没有 
刚买了就降价还不能申请价保,1,刚买 降价 还 申请 价保 
用不久就有问题了充电接触不良售后服务差,1,问题 充电 接触不良 售后服务 差 
为什么新手机没有外面的膜,1,新手机 没有 外面 膜 
耳机都没有了还放页面赠品链接体验不好,1,耳机 都 没有 还 放 页面 赠品 链接 体验 不好 
在活动时间内买的没有享受活动内容套路,1,活动 时间 内买 没有 享受 活动 内容 套路 
手机坏了居然没有从卡导入联系人功能,1,手机 坏 没有 从卡 导入 联系人 功能 
好好的一个手机你要送耳机你就送不送你就不送为同样的价格一会儿送一会儿不送要不是卖了其它东西不让就给你退回去了,1,好好 手机 送 耳机 送 送 送 价格 一会儿 送 一会儿 不送 卖 东西 不让 退回去 
给丈母娘买的手机还没就分手了真是了狗了,1,丈母娘 买 手机 还 没 分手 真是 狗 
真不怎么样这手机挺差的,1,真 不怎么样 手机 挺差 
帮朋友买的朋友不喜欢耗电快手机容易发热,1,帮 朋友 买 朋友 喜欢 耗电 手机 发热 
用了一天就轻轻摔了一次屏幕就裂了,1,轻轻 摔 屏幕 就裂 
收到的手机是别人退货机连屏幕膜都没了,1,收到 手机 退货 机连 屏幕 膜 都 没 
屏幕有时会抖动不知道是什么原因,1,屏幕 有时 抖动 知道 原因 
质量太成问题用了没一个月串屏串的厉害手都不用动自己就跳了太次了垃圾,1,质量 太 成问题 没 一个月 串屏 串 厉害 手 都 不用 动 跳 太次 垃圾 
连个耳机都没有手机很一般用起来也很一般,1,耳机 都 没有 手机 起来 
买了没多久就降价这样的购物体验简直了买的时候说保价现在结果不到就降价了这降的也太快了吧,1,买 没多久 降价 购物 体验 简直 买 说 保价 现在 不到 降价 这降 太快 
外包装太脏了物流晚到了一天,1,外包装 太脏 物流 晚到 
外形外观还行屏幕音效声音特别小打游戏不戴耳机根本听不到声音声音开到最大都不行反正就是声音特小拍照效果模糊运行速度还行,1,外形 外观 还 行 屏幕 音效 声音 特别 打游戏 不戴 耳机 根本 听 不到 声音 声音 开 最大 都 不行 反正 声音 特小 拍照 效果 模糊 运行 速度 还 行 
给你们看看这个手机有多夸张本来还想忍忍但是一定要有人真实反馈我在荣耀买了好几个手机都挺好的至少用了一年半载都挺好这个手机就让人无奈而且意外了用了两天就成这样了本来觉得手机速度挺快还窃喜找到宝贝了结果才用了两天指纹锁莫名消失莫名卡死重启开不了机开了机进不去好了十分钟莫名又死机还在上班跟客户谈事的我简直崩溃得流眼泪希望荣耀能改进支持国货的心态一如既往,1,看看 手机 夸张 本来 还 想 忍忍 有人 真实 反馈 荣耀 买 好几个 手机 都 挺 至少 一年半载 都 挺 手机 就让 无奈 意外 两天 成 本来 觉得 手机 速度 挺快 还 窃喜 找到 宝贝 两天 指纹锁 莫名 消失 莫名 卡死 重启 开 机开 机 进不去 十分钟 莫名 死机 还 上班 客户 谈事 简直 崩溃 流眼泪 希望 荣耀 改进 支持 国货 心态 一如既往 
发信息都不回我要荣耀的给我发个的过来太差了,1,发 信息 都 回 荣耀 给我发 过来 太差 
京东真坑在首页写着保价我买的双十一看到价格就降了块钱也不知道怎么保价再找客服说时间过了就不能申请保价了流氓协议下次长记性了介意的以后都双十一买吧肯定双十一便宜,1,京东 真坑 首页 写 保价 买 双十 看到 价格 降 块钱 知道 保价 找 客服 说 时间 申请 保价 流氓 协议 下次 长 记性 介意 都 双十 一买 肯定 双十 便宜 
本机有一个奇葩的缺陷就是共享热点以后如果连热点的一方离开分钟热点就自动关闭对方来了也连不到热点又要重新开启热点且没有开关选择强制关闭对于那些一个手机共享热点供别人用的千万不要买还有原装手机保护膜粘指纹严重我用天就丢了换了闪魔防指纹钢化膜快递还不错,1,本机 奇葩 缺陷 共享 热点 热点 一方 离开 分钟 热点 自动 关闭 不到 热点 重新 开启 热点 没有 开关 选择 强制 关闭 手机 共享 热点 供 买 原装 手机 保护膜 粘 指纹 我用 天 丢 换 闪 魔防 指纹 钢化 膜 快递 还 不错 
我发了好多条短信都没有正确回复客服太差,1,我发 多条 短信 都 没有 正确 回复 客服 太 差 
我买的手机和卡手机收到我的卡呢差评,1,买 手机 卡 手机 收到 卡 差评 
手机质量太差一个月电池就坏了,1,手机 质量 太 差 一个月 电池 坏 
必须差评从什么时候开始买手机要自己花钱配耳机了商人我要提前知道肯定不买,1,差评 买手机 花钱 配 耳机 商人 我要 提前 知道 肯定 不买 
手机跟图片上差远了比我之前买的小,1,手机 图片 差远了 买 
买完第二天就降价没节操,1,买 完 第二天 降价 没 节操 
就一天时间便宜了元我买贵了问客服都是机器人回答不开心,1,时间 便宜 元 买 贵 问 客服 都 机器人 回答 开心 
网络差第一台有瑕疵现在第二天还是卡屏和断网烦死了,1,网络 差 第一台 瑕疵 现在 第二天 卡屏 断网 烦死 
太差了卡的摁啥都得反应一秒用着闹心还不给退,1,太差 卡 摁 都 一秒 闹心 还 退 
打开就卡机居然滑动都会卡服气了以后不在京东买了真的无语了,1,打开 卡机 滑动 都 卡 服气 京东 买 真的 无语 
华为手机太垃圾了随便摔一下屏幕就破碎连续买了两部华为手机都是不到一个月屏幕就破碎,1,华为 手机 太 垃圾 随便 摔 屏幕 破碎 连续 买 两部 华为 手机 都 不到 一个月 屏幕 破碎 
没有息屏显示没有呼吸灯直接退款吧机子做得太丑了真的服了荣耀的设计师,1,没有 息屏 显示 没有 呼吸 灯 直接 退款 机子 做 太丑 真的 服 荣耀 设计师 
口口声声说原装结果里面带的是安卓充电线手机都有可能是二手的朋友们擦亮眼睛吧真心累,1,口口声声 说 原装 里面 安卓 充电 线 手机 都 二手 朋友 擦亮眼睛 真心 累 
垃圾手机老是黑屏给客服反馈也不理大家不要买真的很差劲,1,垃圾 手机 老是 黑屏 客服 反馈 不理 买 真的 差劲 
不是原装包装感觉像华强北组装机一样找客服客服也不理差评,1,原装 包装 感觉 华强北 组装机 找 客服 客服 不理 差评 
照片颜色失真拍人拍得好黑,1,照片 颜色 失真 拍人 拍 黑 
外观都是黑手印而且连个塑料薄膜都没有太垃圾了,1,外观 都 黑 手印 塑料薄膜 都 没有 太 垃圾 
最差的一次购物体验下单时没注意就裸机一台连个耳机都没送同时过了几天又下单购买同款手机就有送耳机不能理解这是什么手断销售产品并且客服不给处理退货还退不了真是坑消费者差评差评差评失望至极希望购买的用户慎重考虑,1,最差 购物 体验 下单 时 没 注意 裸机 一台 耳机 都 没 送 几天 下单 购买 同款 手机 送 耳机 理解 这是 手断 销售 产品 客服 退货 还 退 真是 坑 消费者 差评 差评 差评 失望 至极 希望 购买 用户 慎重考虑 
送的电信卡还得交费操作麻烦网络太差不建议买客服爱搭不理,1,送 电信卡 还 交费 操作 麻烦 网络 太差 建议 买 客服 爱 搭 不理 
以后不敢来这个店下单了收了货因为我爸的旧手机又搞好了手机都没激活退货说背面有小划痕不给退我也是醉了都是拆过包装的机子别人搞的却让我买单第一次遇到这情况非常不满意还相信旗舰店简直打脸,1,店 下单 收 货 我爸 旧 手机 搞好 手机 都 没 激活 退货 说 背面 划痕 退 醉 都 拆过 包装 机子 搞 买单 第一次 遇到 情况 非常 满意 还 相信 旗舰店 简直 打脸 
拍的时候是当天送达在沈阳准备发车第二天点多才到配货点对沈阳到本溪这段物流非常不满意,1,拍 当天 送达 沈阳 发车 第二天 点多 配货点 沈阳 本溪 段 物流 非常 满意 
手机卡顿照相污黑手机死机黑屏商家处理太度差,1,手机卡 顿 照相 污 黑手机 死机 黑屏 商家 太度 差 
七天无理由退换货现在还没超过七天呢手机屏幕就坏了客服说没事换要是维修自己承担真是骗人啊,1,七天 无 理由 退换货 现在 还 没 超过 七天 手机 屏幕 坏 客服 说 没事 换 维修 承担 真是 骗人 
手机都还没用到一个月没有进水退回去维修说我自己掉水里了里面都发霉了打电话也没解决第一次买到这么差劲的手机,1,手机 都 还 没用到 一个月 没有 进水 退回去 维修 说 掉 水里 里面 都 发霉 打电话 没 解决 第一次 买 差劲 手机 
才用一个月不到手机出现死机自动关机太坑了,1,一个月 不到 手机 死机 自动关机 太坑 
差评虚假宣传页面上是超级快充结果发过来的只是快充的充电头,1,差评 虚假 宣传 页面 超级 快充 发过来 快充 充电 头 
劝商家换一个客服买完东西就不理人我前天买的今天就降价了可真是有意思发了一堆消息没人回,1,劝 商家 换 客服 买 完 东西 不理 前天 买 降价 真是 有意思 发了 一堆 消息 没人 回 
机子本身没啥不对但是还得给差评相差一天下单有优惠回头还送礼品昨天的啥啥没有喊补送还不行不爽不爽,1,机子 本身 没 还 差评 相差 下单 优惠 回头 还 送 礼品 昨天 没有 喊补 送还 不行 不爽 不爽 
第一次收货的是质量问题听筒声音很小有杂音买了才几天价格就降了,1,第一次 收货 质量 问题 听筒 声音 很小 杂音 买 几天 价格 降 
退货不来取件送货延误京东的订单和服务单条款京东不遵守客服在电话中经常我讲完客服没反应结束通话没服务评价直接挂断电话京东百般刁难都是我身边的投圈套为所欲为因为没人知道所以格外残忍,1,退货 不来 取件 送货 延误 京东 订单 服务 条款 京东 遵守 客服 电话 中 经常 讲完 客服 没 结束 通话 没 服务 评价 直接 挂断 电话 京东 百般刁难 都 身边 投 圈套 为所欲为 没 知道 格外 残忍 
严重差评差评手机太次了都说支持国货但是国货不给力你让我咋支持客服服务太费劲了竟整机器人服务啥呢总之一句话太次了,1,差评 差评 手机 太次 都 说 支持 国货 国货 不给力 支持 客服 服务 太 费劲 竟整 机器人 服务 一句 话 太次 
差评月号购买的到现在还没收到货没有人找我对接到底要怎么处理,1,差评 月 号 购买 现在 还 没收 到货 没有 找 对接 
冲着情怀买的这个手机但是买没到天就送耳机变相的降价让我很不舒服第一次买也是最后一次选择你告辞,1,冲着 情怀 买 手机 买 没到 天 送 耳机 变相 降价 舒服 第一次 买 最后 选择 告辞 
垃圾打电话断线上网经常没网络网页都打不开,1,垃圾 打电话 断线 上网 经常 没 网络 网页 都 打不开 
售后服务太差了一点都没有保障也没有价保当天晚上买的第二天就掉价申请价保没人理后来说等售后联系我都一个星期了也没有得到处理从来不差评的第一次给商家差评服务太差了客服更是差特别不专业,1,售后服务 太差 一点 都 没有 保障 没有 价保 当天 晚上 买 第二天 掉价 申请 价保 没 人理 说 售后 联系 都 星期 没有 从来不 差评 第一次 商家 差评 服务 太差 客服 更是 差 特别 专业 
电池用不了一天就没电了当天降价几天太了在京东买这么多年产品第一次遇到真无语,1,电池 没电 当天 降价 几天 太 京东 买 多年 产品 第一次 遇到 真无语 
质量太差还不换给以后别在他家买会生蛋的你的钱就丢在水里了他们京东要完蛋了,1,质量 太差 还 不换 他家 买会 生蛋 钱 丢 水里 京东 完蛋 
确实荣耀离开华为不是以前的荣耀了唉物是人非了要想走得更远注意一下品质价钱不是吸引人的手段品质好了贵点也无妨呀不要把自己做得啥也不是何苦呢荣耀祝你好运吧,1,确实 荣耀 离开 华为 荣耀 物是人非 想 走 远 注意 品质 价钱 吸引 手段 品质 贵点 无妨 做 荣耀 祝你好运 
手机充电器充电时温度太高都不敢充电情况下使用手机,1,手机 充电器 充电 时 温度 太高 都 充电 情况 手机 
垃圾客服不回信息垃圾手机反应迟钝,1,垃圾 客服 不回 信息 垃圾 手机 反应迟钝 
差评待机充电一个多小时没充满客户回答也很不满意,1,差评 待机 充电 一个多 小时 没 充满 客户 回答 满意 
感觉像二手手机客服永远是机器人白眼不会在京东买东西了,1,感觉 二手手机 客服 永远 机器人 白眼 京东 买 东西 
垃圾玩意谁买谁后悔越做越差这让我们国人怎么支持国货,1,垃圾 玩意 买 后悔 越做越 差 国人 支持 国货 
下单时有以旧换新付完款就就发短信要求发快递售后也是推来推去,1,下单 时有 以旧换新 付 完款 发短信 要求 发 快递 售后 推来推去 
买了这么多手机第一次见到需要给好评才能配耳机的购物体验极差想好评是想疯了么,1,买 手机 第一次 见到 需要 好评 才能 配 耳机 购物 体验 极差 想 好评 想 疯 
刚买的新手机但是充电线不能冲店问售后不理太差劲,1,刚买 新手机 充电 线 冲店 问 售后 不理 太 差劲 
卡只有信号开机很慢不好用,1,卡 信号 开机 慢 不好 
用网不方便太卡,1,用网 方便 太卡 
上网卡顿很严重总体情况便宜没好货,1,上网卡 顿 总体 情况 便宜 没好 货 
屏幕太模糊了不清晰不够我的荣耀清晰,1,屏幕 太 模糊 清晰 荣耀 清晰 
第一次在京东上购买手机原以为京东的东西应该不会错却给了我极差的体验从我收到商品发现有问题反映给客服有两天时间了一直没有任何人联系我劝大家谨慎购物,1,第一次 京东 购买 手机 原以为 京东 东西 不会错 极差 体验 收到 商品 发现 问题 客服 两天 时间 没有 任何人 联系 劝 谨慎 购物 
垃圾商品刚买完就降价而且还赠送原装耳机不允许申请价保,1,垃圾 商品 刚买 完 降价 还 赠送 原装 耳机 申请 价保 
非常差手机音质非常非常差一千多元丢水里了,1,非常 差 手机 音质 非常 非常 差 一千多元 丢水里 
差评没耳塞的隔了一天又说有送耳塞竟然没的补,1,差评 没 耳塞 隔 说 送 耳塞 竟然 没 补 
一个星都不想给连个耳机都没有差差差评,1,星 都 不想 连个 耳机 都 没有 差差 差评 
质量太差反应慢失望,1,质量 太 差 慢 失望 
屏幕模糊的太不值这价了,1,屏幕 模糊 太 不值 这价 
手机用天就黑屏不能开机质量超级差不要购买,1,手机 用天 黑屏 开机 质量 超级 差 购买 
等了四天才配送打了好几个投诉电话京东现在的物流和品质越来越差以后不会再在京东购物了,1,四天 配送 好几个 投诉 电话 京东 现在 物流 品质 越来越 差 京东 购物 
我真心无语了我根本就没有收到手机我这边就显示已签收订单已完成甚至是连物流信息和快递员都没有我想联系快递员都没法联系还有也没联系我这个收货人就签收了我就特别好奇是鬼签收的吗,1,真心 无语 根本 没有 收到 手机 显示 签收 订单 物流 信息 快递 员 都 没有 想 联系 快递 员 都 没法 联系 没 联系 收货人 签收 特别 好奇 鬼 签收 
明明说得是手机到手里是个太坑了发信息客服不回信息了,1,明明 说 手机 手里 太坑 发 信息 客服 不回 信息 
很失望从换上来的早知道买了最后一部荣耀手机,1,失望 换上来 早 知道 买 最后 一部 荣耀 手机 
服务太差那客服找个种理由推脱,1,服务 太差 客服 找个种 理由 推脱 
客服不理人手机没没有配送耳机手机卡的要命我准备退货了我真不理解以上的好评是怎么来的,1,客服 不理 手机 没 没有 配送 耳机 手机卡 要命 退货 真 理解 好评 
说真心话还不如电池不耐用有时候还一卡一卡的,1,说 真心话 还 电池 耐用 有时候 还 一卡 一卡 
差评手机开扬声器讲电话信号非常差用听筒就没事,1,差评 手机 开 扬声器 讲 电话 信号 非常 差用 听筒 没事 
手机有划痕这次购物非常失败,1,手机 划痕 这次 购物 非常 失败 
收到疑似摔过的二手在收到当天提换货客服答应的好听但就是没任何动作如今改成了退货一个工作周快过去了依旧没人理还真是请神容易送神难啊,1,收到 疑似 摔过 二手 收到 当天 提 换货 客服 答应 好听 没 动作 改成 退货 工作 周快 过去 依旧 没 人理 还 真是 请神 送神 难 
屏幕上面有划痕晚上送到第二天早上就看到屏幕上面有划痕非常明显至今还没有客服解决,1,屏幕 划痕 晚上 送到 第二天 早上 看到 屏幕 划痕 非常明显 至今 还 没有 客服 解决 
买回来用了一天不到屏幕就碎了真的是太垃圾了,1,买回来 不到 屏幕 碎 真的 太 垃圾 
买来一个月就坏了买过这么多荣耀手机这是最差一次购物,1,买来 一个月 坏 买 荣耀 手机 这是 最差 购物 
其他特色最基本的通话都经常不清楚非常差劲,1,特色 最 通话 都 经常 清楚 非常 差劲 
手机很卡问客服问题什么也不知道,1,手机 很卡问 客服 问题 知道 
服务态度差也可以现在是完全没有售后服务谨慎购买吧,1,服务态度 差 现在 没有 售后服务 谨慎 购买 
垃圾的很客服也不理人的买了上当,1,垃圾 客服 不理 买 上当 
刚买手机就很卡什么垃圾,1,买手机 卡 垃圾 
屏幕分辨率太低显示不清购买慎重,1,屏幕 分辨率 太低 显示 不清 购买 慎重 
太垃圾了收到个次品后盖都开了,1,太 垃圾 收到 次品 后盖 都 开 
这个差评是给某坑东的真的的太坑了气的我呀牙疼,1,差评 坑东 真的 太坑 气 牙疼 
从来没有这么差的购买体验下单前显示隔天到达下完单显示要调货调天我真是服了不是急着用我上京东干嘛你调货从几内亚调吗调七天网购这么多年第一次这么气以后鬼在京东再买东西,1,没有 差 购买 体验 下单 前 显示 隔天 到达 完单 显示 调货 调天 真是 服 急 京东 干嘛 调货 几内亚 调 调 七天 网购 多年 第一次 气 以后鬼 京东 买 东西 
运行速度卡死了网差的很手机太垃圾了,1,运行 速度 卡死 网差 手机 太 垃圾 
质量很差使用了一个月经常关机,1,质量 很差 一个月 经常 关机 
非常差评我都拒收了四天了都没有退款给我,1,非常 差评 都 拒收 四天 都 没有 退款 
太差劲了送货速度和快递员好评商品太差劲了,1,太 差劲 送货 速度 快递 员 好评 商品 太 差劲 
外形外观退货机吧买了无数次手机第一次碰到连塑封膜都没有的绝对二手机,1,外形 外观 退货 机吧 买 无数次 手机 第一次 碰到 塑封 膜 都 没有 绝对 手机 
商品质量问题客服人员推卸责任失望透顶,1,商品质量 问题 客服 人员 推卸责任 失望透顶 
屏幕分辨率很差看个视频看久了眼睛都花,1,屏幕 分辨率 很差 看个 视频 看久 眼睛 都 花 
其他特色连个耳机都没有联系客服三天没回话,1,特色 耳机 都 没有 联系 客服 三天 没 回话 
必须差评过份了买手机不给我耳机只有一个充电器,1,差评 过份 买手机 耳机 充电器 
你们再转转吧第一次用荣耀手机这品质我也是无语了,1,转转 第一次 荣耀 手机 品质 无语 
客服差连个耳机都没有送货倒速度的估计人工都死了天天人机,1,客服 差连个 耳机 都 没有 送货 倒 速度 估计 人工 都 死 天天 人机 
稀烂收到货线下就降价十天不到线下降没见过这么坑的首发买的就像傻子似的,1,稀烂 收到 货 线下 降价 十天 不到 线 下降 没见 坑 首发 买 傻子 
我妈拍抖音用相机一点都不清楚差评,1,我妈 拍抖 音用 相机 一点 都 清楚 差评 
网速很差无论是连还是移动网络,1,网速 很差 无论是 移动 网络 
超级不好用又卡又慢,1,超级 不好 卡 慢 
手机卡的很电量续航也不行,1,手机卡 电量 续航 不行 
垃圾耳机自动取消了重新买还要钱,1,垃圾 耳机 自动 取消 重新 买 还要 钱 
现在华为不行了的手机还不如小米的第二天就卡了,1,现在 华为 不行 手机 还 小米 第二天 卡 
垃圾战斗机下载很长时间都下不的国货,1,垃圾 战斗机 下载 长时间 都 国货 
手机太卡待机的时候手机没网络,1,手机 太卡 待机 手机 没 网络 
这款手机真心不好用老是卡屏头大,1,款 手机 真心 不好 老 卡 屏头 
连个包装盒塑封都没有直接两个贴纸问客服说是会有京东专属塑封结果压根没有客服就推脱给京东客服京东客服压根没回复,1,包装盒 塑封 都 没有 直接 两个 贴纸 问 客服 说 京东 专属 塑封 压根 没有 客服 推脱 京东 客服 京东 客服 压根 没 回复 
垃圾货反应慢不好用,1,垃圾 货 慢 不好 
手机急用一直在等电话通知快递到了以后短信电话都没通知直接扔在快递服务点服务态度极差以后不会再京东购物了,1,手机 急用 电话 通知 快递 短信 电话 都 没 通知 直接 扔 快递 服务 点 服务态度 极差 京东 购物 
手机太差了打字校不准全是错别字一点不灵敏,1,手机 太差 打字 校 不准 全是 错别字 一点 不灵敏 
老妈说拍得照片乌漆麻黑很不比之前用久了的同价位的手机都差,1,老妈 说 拍 照片 乌漆 麻黑 用久 同价位 手机 都 差 
辣鸡买的时候说有价保等价格降了以后又说产品卖的好不给价保,1,辣鸡 买 说 价保 价格 降 说 产品 卖 价保 
正常京东物流今天下单明天就到了我下单五天才收到快递还天天催着发货货源距离收货地点一个多小时的车程竟然让我足足等五天真的无语啦,1,正常 京东 物流 下单 明天 下单 五天 收到 快递 还 天天 催着 发货 货源 距离 收货 地点 一个多 小时 车程 竟然 足足 五天 真的 无语 
导航不知道用哪个软件真垃圾定位跟不上,1,导航 知道 软件 真 垃圾 定位 跟不上 
垃圾感觉像是翻新机用了没几天卡的要死不推荐买,1,垃圾 感觉 像是 翻新 机用 没 几天 卡 要死 推荐 买 
买说送耳机又没送服务感觉也挺差的本想是支持国产手机没想到又遇到这么一个烂事这次购物体验太差了,1,买 说 送 耳机 没 送 服务 感觉 挺 差 想 支持 国产手机 没想到 遇到 烂事 这次 购物 体验 太差 
垃圾手机千万别买屏幕超级差拍照也不行没发用,1,垃圾 手机 千万别 买 屏幕 超级 差 拍照 不行 没发用 
屏幕音效音效不知道怎么吐槽谁用谁知道以后无爱了,1,屏幕 音效 音效 知道 吐槽 知道 无爱 
买之前跟客服沟通说下单赠送耳机收货后确没有解释说上一个同事不知道情况商家太没信誉了,1,买 客服 沟通 说 下单 赠送 耳机 收货 后确 没有 解释 说 同事 知道 情况 商家 太 没 信誉 
不推荐主要是沒有返回功能操作非常不方便,1,推荐 沒 返回 功能 操作 非常 方便 
手机有问题不给换货售后更是垃圾根本不给换货全是千万别买京东早晚得黄,1,手机 问题 换货 售后 更是 垃圾 根本 换货 全是 千万别 买 京东 早晚 黄 
东西还行买了没几天就开始赠品移动电源不开心给个差评,1,东西 还行 买 没 几天 赠品 移动 电源 开心 差评 
非常不好特别是拍照特别特别不行运行内存还是会卡,1,非常 不好 特别 拍照 特别 特别 不行 运行 内存 卡 
昨天收到的今早就开不了机了荣耀确实不咋样以后都不买荣耀的任何东西了太垃圾了,1,昨天 收到 早就 开 机了 荣耀 确实 咋样 都 买 荣耀 东西 太 垃圾 
这手机太垃圾了一点也不流畅基本没装什么东西,1,手机 太 垃圾 一点 流畅 没装 东西 
拍个白色结果发来一个蓝色找客服结果又是电脑退又麻烦的死,1,拍个 白色 发来 蓝色 找 客服 电脑 退 麻烦 死 
水货这手机不能用导航用了不准差劲的很,1,水货 手机 导航 不准 差劲 
小问题特别多唯一好点的是电池吧信号垃圾一个,1,问题 特别 唯一 好点 电池 信号 垃圾 
垃圾信号特别差,1,垃圾 信号 特别 差 
就一个充电器标配的耳机都没有华为现在芯片困难耳机也困难,1,充电器 标配 耳机 都 没有 华为 现在 芯片 困难 耳机 困难 
屏幕音效太差了老是没信号一样买了个水货,1,屏幕 音效 太差 老 没 信号 买 水货 
这什么鬼屏幕卡顿还不到一星期之前也卡屏过一次,1,鬼 屏幕 卡顿 还 不到 星期 卡屏 
你们这个是什么逻辑送手机卡竟然是湖南的卡我买手机邮寄地址是安徽你给我送湖南的卡搞笑的吧,1,逻辑 送 手机卡 竟然 湖南 卡 买手机 邮寄 地址 安徽 送 湖南 卡 搞笑 
大忽悠京东买了就降价发货也慢一星都不想给,1,忽悠 京东 买 降价 发货 慢 一星 都 不想 
手机卡顿太垃圾差评,1,手机卡 顿太 垃圾 差评 
连都搜不到垃圾,1,都 搜 不到 垃圾 
差评什么都不送价格还比别家贵买了以后才看到别家的价格客服态度也不行,1,差评 都 送 价格 还 别家 贵买 看到 别家 价格 客服 态度 不行 
刚买的新机卡插上去就没有网络体验非常差,1,刚买 新机 卡 插上去 没有 网络 体验 非常 差 
真的不怎么样玩着玩着不到分自己就锁屏幕把休眠时间设计调到十分钟后也是不行还是锁屏了,1,真的 不怎么样 玩 玩 不到 分 锁 屏幕 休眠 时间 设计 调 十分钟 不行 锁屏 
刚买第一天就降价广告宣传年全年价保结果申请被告知说有赠品不能价保商家跟京东一起互推责任虽然最后也给退了但是是很差的购物体验买这种电子产品真的是买晚不买早,1,刚买 第一天 降价 广告宣传 年 价保 申请 告知 说 赠品 价保 商家 京东 互推 责任 最后 退 差 购物 体验 买 这种 电子产品 真的 买 晚 买 早 
天自动关机这么都开不了机强制重启也打不开之前用的荣耀手机也是一样的问题,1,天 自动关机 都 开 机 强制 重启 打不开 荣耀 手机 问题 
与同价位红米相比运行速度慢同时下载王者荣耀或者退出重新进入游戏相比手机外观不够好看笨重,1,同价位 红米 相比 运行 速度慢 下载 王者 荣耀 退出 重新 进入 游戏 相比 手机 外观 好看 笨重 
运行速度手机不行后台老是自动清理真大家不哟买谁买谁上当,1,运行 速度 手机 不行 后台 老是 自动 清理 真 不哟 买 买 上当 
不是上面多一丝就是下面多一丝上面没有就下面下面没有就下面就多一丝丝,1,多一丝 多一丝 没有 没有 一丝丝 
手机看上去还可以就是客服真差劲问了两次都没有回复手机收到了打开里面被打开过质询客服没反应手机有时点好几下没反应,1,手机 看上去 还 客服 真 差劲 问 两次 都 没有 回复 手机 收到 打开 里面 打开 质询 客服 没 手机 有时 点 好几下 没 
运行速度一般待机时间般质量不好主要是网络太差,1,运行 速度 待机时间 般 质量 不好 网络 太 差 
